LineName,TrainNumber,StationCode,Direction,Destination
R,1,R29,forward,G33
G,1,R16,forward,G33
B,1,R27,forward,G33
R,2,R20,backward,R01
G,2,R23,backward,R01
B,2,R23,backward,R01
R,3,R37,forward,G33
G,3,R24,forward,G33
B,3,R35,forward,G33
R,4,R28,backward,R01
G,4,R31,backward,R01
B,4,R31,backward,R01
