LineName,TrainNumber,StationCode,Direction,Destination
R,1,R22,forward,G33
G,1,R06,forward,G33
B,1,R17,forward,G33
R,2,R27,backward,R01
G,2,R33,backward,R01
B,2,R33,backward,R01
R,3,R30,forward,G33
G,3,R14,forward,G33
B,3,R25,forward,G33
R,4,R35,backward,R01
G,4,R08,backward,R01
B,4,R41,backward,R01
